Hotel,Price,City,Address
D’Stolz Villa & Hospitality ,"₦15,200","Life Camp, Abuja","Plot 552E, Behind Urban Shelter Phase 2, Bellavue Residence, Idris Salmaho Close, Life Camp"
MMM House,"₦15,500","Garki 2, Abuja","Plot 124, Ladoke Akintola Boulevard, Garki 2"
Grand Ibro Hotel Annex,"₦17,000","Wuse Zone 5, Abuja",36 Sokode Crescent
 New Blue Diamond Hotel(Formerly Rosebud Hotel) ,"₦15,000","Gwarinpa, Abuja","Plot C56 5th Avenue, Tai Solarin Avenue Gwarinpa Estate II"
Kings Court Apartment ,"₦15,000","Abuja, Abuja",Plot 107 Games Village Kuara District
Centurion Apartments,"₦15,000","Wuse Zone 4, Abuja","30, Kitwe Street, Wuse Zone 4"
"Georgetown Hotel, Gwarinpa","₦15,000","Gwarinpa, Abuja","Plote C126, 1st Avenue Back Of Agate Hotel Gwarinpa Abuja."
Chateau De Trybze,"₦15,000","Wuse, Abuja","51 Suez Crescent Abacha Estate , Behind Sheraton Hotels And Towers,"
Alpina Lodge (Former Ascort Hotels),"₦15,000","Wuse, Abuja","Plot 92, Yaounde Street, Zone 6"
WestPoint Hotel,"₦15,000","Wuse, Abuja",Behind NAFDAC Office Plot 2038 Masaka Close Wuse Zone 7
Gloriana Hotel ,"₦15,000","Garki, Abuja","No 4-6 Okene Street, Area 2 Section 2, Garki. Abuja"
Sentinel Apartments And Suites,"₦15,000","Area 1, Abuja","Plot 709, Cadastral Zone, By VIO Office, Behind CAC Church"
The Alexis Hotel And Conference Center,"₦15,000","Jabi, Abuja","Plot 693, Obafemi Awolowo Way, Zone B4, Jabi  Abuja"
Big Pepper Apartment,"₦15,000","Jabi, Abuja","70 Ebitu Ukiwe St, Jabi"
Belvoir Hotel,"₦15,000","Wuse, Abuja","73 Lome Crescent, Opposite Omega Hotel"
Tauba,"₦15,000","Abuja, Abuja","Plot 1001 Ibrahim Tahir Lane, Off Shehu Musa Yaradua Way, Abuja"
Bamboo House,"₦15,000","Maitama, Abuja",3 Salt Lake Off Usuma Street
Chida International Hotel,"₦15,000","Utako, Abuja","Plot 224, Solomon Lar Way, Utako District, Abuja"
Maple Apartment,"₦15,000","Life Camp, Abuja","Salisu Lliyasu Street, After Holy Family Catholic Church, Life Camp, Abuja. 5 Minutes Away From Wuse"
House X,"₦15,000","Wuse , Abuja","Plot A25 Faplins Estate, Dakwo District. Abuja"
"K-Hill Apartment, Abuja","₦15,000","Katampe, Abuja","Plot 1106  Katampe Cadastral Zone B07, Katampe"
312-Resort,"₦15,000","Gwarinpa, Abuja","1 Ango Abdullahi Street, Off Christiana Okunuga Street,112 Road 1st Avenue"
Glitaz Apartment ,"₦15,000","Apo, Abuja","Plot 1047 Zone D Apo Resettlement, Apo"
Margarettas Classic Suites ,"₦14,300","Utako, Abuja","Plot 510, Wushishi Crescent ( Off Okonjo Iweala Crescent, Utako, Abuja)"
Kryxtal Suites Wuse 2,"₦14,400","Wuse 2, Abuja","120, Aminu Kano Crescent"
"Prixair Hotels, Wuse","₦14,500","Wuse, Abuja",14 Cotonou Crescent Off Bissau Street Behind Former Nitel Head Quarters
The Edge By Wellness,"₦14,997","Gwarinpa, Abuja","No.1 C-Close, 4th Avenue, Citec Villa, Gwarinpa"
Stanzel Grand Resort,"₦14,502","Gwarinpa, Abuja","Plot C103, Along A Close, Off 1st Ave., Behind Fidelity Bank, Gwarinpa Est"
Numero Uno Hotels ,"₦14,500","Gwarinpa, Abuja","95A, Sa'ad Zungur Street, 4th Avenue, Gwarinpa, Abuja"
Royal Choice Inn,"₦14,000","Central Business District, Abuja","Beside The National Christian Centre, Behind CBN, Central Business District"
Matrix Hotel ,"₦13,500","Wuse, Abuja",135 Ademola Adetokunbo Crescent
Pope John Paul Catholic Guest House,"₦13,100","Wuse, Abuja","Pope John Paul Ll Catholic Centren 27, Bangui Street, Off Ademola Adetokunbo Crescent"
Firstmak Hotels & Resorts    ,"₦13,500","Garki 2, Abuja","Plot D51 Nsukka Street, Garki 2, (landmark: Beside Ecwa Church)"
Falak Grand  Hotel ,"₦14,000","Garki, Abuja",Plot 7  Oro Ago Street . Opp Old  Ferma Office Now Nesrea. Off Mohammad Buhari Way  .  Near  Old  CBN  Garki  2  Abuja
Amso International Hotels,"₦13,500","Wuse Zone 6, Abuja",Plot 85 Yaounde Street
Boardwalk Hotel,"₦15,000","Wuse, Abuja","No 43b Khartoum Street, Off Accra Street, Wuse Zone 5, Abuja."
Hemas Hotels ,"₦18,000","Life Camp, Abuja","No 2 Adamu Fika Street, Life Camp"
NELSENO HOTEL,"₦14,000","Wuse, Abuja","No. 12 Bamako Street, Wuse Zone 1, Wuse"
Angel Park Place Hotel,"₦13,500","Utako, Abuja","Plot 22, F Okotie Eboh Crescent, Behind Chisco Bus Terminal, Utako, Off Julius Berger Junction, After Utako Market, FCT"
Harmonia Hotel,"₦12,650","Garki, Abuja","Plot 896 Gimbiya Street (By Rachel Eye Clinic Center) P.O.Box 11137, Area II"
New Golden Hotel,"₦12,960","Wuse, Abuja","21 Kigoma Street, Wuse Zone 7"
La Pour Hotel,"₦13,000","Utako, Abuja","Plot 794, Okonjo-iweala Way, Utako District, Opp Good Tiding Church, Abuja"
Siman Suites Hotel,"₦12,750","Garki, Abuja","Plot 2163 Area 11, Malumfashi Close"
Crystal Palace Hotel,"₦12,900","Garki, Abuja","29, Plot 687, Port Harcourt Crescent, Off Ahmadu Bello Way, Off Gimbiya Street, Area11."
Grand Ibro Hotel,"₦13,000","Wuse, Abuja",2121 Micheal Okpara Road Opposite Shelter Plaza
B's Hive Hotels And Suites,"₦12,750","Gwarinpa, Abuja","81, 4th Avenue, CITEC Villas"
Auris Court Suites ,"₦13,000","Mabushi, Abuja",Plot 550 Cadastral Zone B06 Off VIO Office; Next To Crown Court
Kudina Luxury Apartments,"₦13,000","Gwarinpa, Abuja","Plot 24, Block V, Federal Ministry Of Works & Housing Estate, Gwarinpa"
House 6 Apartment,"₦13,000","Garki, Abuja",No. 6 Gashua Close Area 8
Sinoni Lodge,"₦15,000","Wuse, Abuja",40 Birao Street
Paris Le Lodge ,"₦12,000","Abuja, Abuja","Plot 177A, 441 Crescent, CITEC Villa, Gwarinpa Abuja"
"Dannic Hotels, Garki Abuja","₦12,000","Garki, Abuja","Plot 93 Oyo Street, Off Moshood Abiola Way, Area 2, Garki, Abuja."
Babcock Guest House,"₦12,000","Wuse, Abuja","11, Hombori Street, Off Freetown Street"
The Alma Place Hotel,"₦12,000","Wuse, Abuja",3 Yawuri Street Opposite Taraba State Liason Office (by Rita Lori Hotel) Garki 2 Abuja
House 14,"₦12,000","Wuse 2, Abuja","14 Kudang Street, Off Moronvia  Street"
Vine Apartment,"₦12,000","Garki, Abuja","No 13, Ogbomosho Street, Area 8, Garki"
Chesbury Hotel,"₦12,420","Wuse, Abuja",Plot 2190 Gwani Street
The Weaver's Hotel,"₦12,000","Central Business District, Abuja","Plot 74 Ralph Shodeinde Street, Ogun State House Opposite Federal Ministry Of Finance/NACA"
" NIAS Events & Suites, Abuja","₦12,500","Jahi, Abuja","No. 167 Cadastral Zone B.09,  Behind Nawa Plaza, Jahi"
Havista Hotels Limited,"₦11,700","Asokoro, Abuja",24 Mungo Park Close Via Shehu Shagari Way By Deeper Life Junction Area 11
Aries Court Apartment,"₦12,000","Abuja, Abuja","House 1, Andorra Crescent, Sun City Estate, Galadimawa"
Peace Haven Hotel,"₦11,000","Wuye, Abuja","112 Olusegun Obasanjo Way, Wuye, FCT"
Pechez International Hotels ,"₦11,590","Wuse, Abuja",1 Ajesa Street Opp Drum Stix Off Aminu Kano Crescent
Bristlecone Suites And Apartments,"₦12,000","Asokoro, Abuja","71 Kwame Nkrumah Crescent, Asokoro"
 Kriscane Suites,"₦10,992","Gwarinpa, Abuja","Plot 21, Mamman Shata Street"
Vinotel Hotel,"₦10,900","Asokoro, Abuja","N0. 35 Nelson Mandela Street, Off ECOWAS Secretariate"
Abuja Bays Garden Hotels Limited,"₦11,000","Wuse, Abuja","No 3 Port Novo Crescent Wuse Ll, Abuja"
 Kebbi Hotel,"₦11,500","Central Business District, Abuja","Plot 70, Kur Mohamed Street, Off Ahmadu Bello Way"
Dreamland Suites,"₦11,500","Jabi, Abuja","No 4 Amisi Musa Street Off Alex Ekwueme Way, Opp Jabi Lake"
Nigerlink  Hotels Limited,"₦10,200","Wuse, Abuja","Plot 4 Malanje Street,  Abuja Municipal"
De-Dominic Suites ,"₦10,500","Gwarinpa, Abuja","F Close, First Avenue, Gwarinpa Estate"
Yaban Hotel,"₦10,750","Wuse, Abuja","21 Alexandria Crescent, Off Aminu Kano Crescent"
Serob Legacy Hotels,"₦10,500","Wuse, Abuja",Plot 686/687 Idris Gidado Street
"Hatfield Apartments, Jabi","₦14,000","Jabi, Abuja","11 Etang O. Obuli Crescent Off Idris Ibrahim, Crescent By Jabi Golf Course, Jabi"
House 797,"₦10,500","Wuse, Abuja",Plot 797 Ademola  Adetokunbo Crescent Opposite White House
Arewa Suites,"₦10,350","Central Business District, Abuja","Samuel Adesoji Ademulegun Street, Off Central Herbert Macaulay Street"
Laropa Luxury Suites,"₦10,550","Gwarinpa, Abuja","House 54, 21 Road,  2nd Avenue"
Beverly Hills Hotels ,"₦11,500","Wuse , Abuja",62 Aminu Kano Crescent
Habitat Guest House,"₦10,500","Gwarinpa, Abuja",2 Stephen Oronsaye Street Off Sa'adu Zungur 4th Avenue Near Setraco Gate.
Green Mike Hotel Formerly (Royal Tropicana Hotel),"₦10,000","Utako, Abuja","Plot 764, Cadastral Zone B05, Utako"
Purple Tulip Hotel And Resort,"₦10,000","Gwarinpa, Abuja","Plot 420, 4th Avenue, Gwarinpa, Abuja."
Pedallo Inn Hotel,"₦10,000","Gwarinpa, Abuja",Plot 491 A Close Second Avenue By Nepa Road
Oxford Hotels,"₦10,000","Wuse, Abuja","26, Suez Crescent, Abacha Estate, Wuse Zone 4, Abuja"
Ajoy Hotels ,"₦10,000","Gwarinpa, Abuja","Plot 757, 69A Road 2 Crescent, Gwarinpa Estate."
Ritman Hotels,"₦10,000","Garki, Abuja","11 Ilorin Street, Area 8"
Cosy Rest Guest House,"₦10,000","Gwagwalada, Abuja","Plot 9/10, Custom Layout, Opposite Gwagwalada Specialist Hospital"
Dayspring Hotels,"₦10,000","Wuse, Zone 6, Abuja","4, Juba Street, Zone 6, Wuse District, Abuja"
Degok Hotel Limited,"₦10,000","Gwarinpa, Abuja","House 13 And 14, A Close, 3rd Avenue Close To Gwarinpa Village Market, Opposite Ebony Hospital"
Concordia Luxury Apartments (Formerly Coded Suite Limited),"₦10,000","Durumi, Abuja","Plot 201 Durumi District, Off Oladipo Diya Road Opposite Games Village, Abuja."
Stamford Hotels ,"₦9,500","Kubwa, Abuja",26 / 28 Olukoya Street Extension 3 By Army Post Service Scheme
Grange Hill Abuja,"₦9,750","Mpape, Abuja","Plot A26, Mpape Hills, Abuja, Lagos"
Peace Royal Resort,"₦10,000","Gwarinpa, Abuja","Plot 88, 43 Crescent 4th Avenue"
"Apple Suite Formerly (Kay Kryxtal Suites, APO)","₦10,000","Apo, Abuja","Behind AP Filling Station, Near APO Legislative Quarters, Apo"
Mummy's Guest House,"₦9,500","Utako, Abuja","20, Moses Majekodunmi Crescent"
FRANKEYZ HAVEN SUITES,"₦9,500","Gwarinpa, Abuja","38/40, 1st Avenue (between NNPC Filing Station And Drumstix), Gwarinpa Estate"
JOY HOUSE HOTEL AND SUITES ,"₦10,000","Garki, Abuja","1077 Cadestral Zone, Area 3 Junction, Garki"
Valton Hotels Ltd,"₦10,000","Garki, Abuja","Plot 1933, Road 9, Apo Resettlement Estate, Apo"
Ritman Hotels Gwarinpa Branch,"₦9,500","Gwarinpa, Abuja",5 Christina Ajayi Okunuga Street (Road 11)
House 919 Suites,"₦9,900","Lugbe, Abuja","Plot 919 1(W) Road, 1st Avenue,  (Close To The Lugbe Fruit Market) FHA Lugbe"
Jovidat Suite,"₦9,300","Jabi, Abuja","Plot 518 Olu Arootesu Street , Behind Mr Biggs"
Golden Astoria Hotels,"₦9,000","Utako, Abuja","No. 9, Moses Majekodunmi Crescent"
H3 Apartments,"₦9,500","Wuse, Abuja","3, Savaluo Street, Wuse Zone 4"
Ivory Suites,"₦9,070","Wuse, Abuja",No. 5 Port Faid Street By Old Sahad Store
Rodze Hotel,"₦10,000","Wuse Zone 5, Abuja","Plot No27, Duola Street, Wuse Zone 5,Abuja"
Brickland Residence ,"₦9,200","Wuse Zone 6, Abuja",32 Kinshasha Street Opposite Foreign Affair Quarters Back Of Primary School.
Dumeros GH,"₦9,000","Gudu, Abuja","Block D24, 24th Street, Games Village Estate, Gudu"
The Bahamas Hotels International,"₦9,000","Asokoro, Abuja","20, Eyadema Street, Behind Ecowas Secretariat"
Sumed Suites,"₦9,000","Gwarinpa, Abuja",Commercial Layout By 1st Avenue Behind LG Office
Tescon Hotel,"₦10,500","Lugbe, Abuja","Plot 338 Lugbe Phase 1 Layout, Airport Road, Abuja"
Frankville Hotel Ltd,"₦8,500","Karu, Abuja","FMEV Quaters , (Formerly Nepa Quaters), E10/9076, Karu"
World Class Hotel ,"₦8,400","Mpape, Abuja",Plot K114 Patrick Aren Avenue Mpape Abuja (Beside Police Mopol Quarter Mpape)
 Villa U Hotels,"₦8,600","Wuse, Abuja","N0. 29, Plot 733, Alexandria Street, Off Aminu Kano Crescent"
Chinox Guest Inn,"₦8,900","Wuse Zone 6, Abuja",Plot 12 Cotonou Crescent
Maitama Guest House,"₦8,100","Maitama, Abuja","25, Yedsaram Street"
CJ Planet International Hotel,"₦8,500","Garki, Abuja","Plot 598, Durumi Road,  Off Old Federal Secretariat, Area 1"
12th April Resorts Hotel,"₦8,900","Gwagwalada, Abuja","113 Commercial Layout, Hospital Road Gwagwalada"
Day Spring Hotel,"₦8,100","Wuse, Abuja",Plot 4 Juba Street
Summit Villas Suites ,"₦8,400","Gwarinpa, Abuja","Life Camp Junction, Opposite AP Filling Station"
Canopy Hotels,"₦8,500","Utako, Abuja","No. 24, Moses Majekodumi Crescent"
LUXRITEL HOTELS LTD,"₦8,000","Gwarinpa, Abuja","House 11, 442 Crescent, Citac Villas, Gwarinpa"
De Agape Regency Hotels Limited,"₦8,000","Wuse, Abuja","Plot 11, Amino Kano Crescent"
Diamond Suites Hotel ,"₦10,000","Utako, Abuja","19, Moses Majekodumi, Utako, Along Edo Line Transport,"
Crown Princess Hotels,"₦8,500","Wuse, Abuja","53 Lome Crescent Plot 1760 Beside Standard Organization, Wuse Zone 7"
Paint House Hotel,"₦8,000","Gwarinpa, Abuja","No1, 211Road, 2nd Avenue Gwarinpa"
Maz Hotel,"₦8,000","Gwagwalada, Abuja","15 Lake City Avenue Phase 1, Gwagwalada"
Church House Hotel,"₦8,000","Wuse, Abuja",Doula Street
 Whytewaters Hotels,"₦8,000","Gwarinpa, Abuja","House 1, Road 111, Off 3rd Avenue, Gwarimpa"
Nordy Hotels,"₦8,000","Utako, Abuja","No 15 Inuwa Wada Crescent Off TOS Benson Crescent  Behind Utako Primary School, By Okonjo Iweala Street."
Modoc Hotel,"₦8,000","Gwagwalada, Abuja","Along FRCN Road, Kuntunkun"
Allied Suncourt Hotel Apartment,"₦10,750","Wuse, Abuja",52 Harper Cresent Opposite Education Resource Centre Wuse Zone
Morrisson Hotels,"₦7,000","Wuse, Abuja",Plot 2327 Kigoma Street
Blue-view Hotel,"₦7,000","Lugbe, Abuja","Light Gold Estate, Lugbe"
"House 81 Guesthouse, Abuja","₦8,000","FCT, Abuja",No 81 Arsenal Street Suncity Estate
Orient Hotel,"₦7,500","Wuse, Abuja",12 Sudan Street
Hotel De Lamitel Annex,"₦7,500","Kado Kuchi, Abuja","Behind Banex Fly Over, Kado New Gwarinpa Road, F.C.T, Abuja."
Camzy Villa Hotel,"₦7,500","Kubwa, Abuja","Plot 21, Queen Aminah Street, Beside Yellow Page Joint, Kubwa"
Ellicot Citi Suites,"₦7,500","Kubwa, Abuja",Plot CD1 Extention III FCDA Scheme
EXCLUSIVE SMART LOUNGE AND RESORT LTD,"₦8,000",", Abuja","No 13, Zone B5, Utako District, Opposite ABC Transit, Behind FIRS Building Utako Abuja."
Joshua Hotels,"₦7,000","Wuse Zone 5, Abuja","Plot 2424, No. 7, Damba Close , Along Sultan Abubakar Way, Wuse, Abuja"
1 Apartment And Suites ,"₦6,500","Kubwa, Abuja","Plot M175, Extension3, Behind Living Faith Church, Kubwa"
Blumy Guest House,"₦6,555","Gwarinpa, Abuja",51/53 3rd Avenue Gwarinpa
AMBIENCE HOTEL ABUJA,"₦7,000","Abuja, Abuja","27 Ontario Cresent,  Suncity Estate, Lokogoma"
New Rendezvous Hotel,"₦6,000","Wuse 6, Abuja","21, Plot 188, Makeni Street, Zone 6"
Algos Suites ,"₦6,000","Kubwa, Abuja","Plot 106 Commercial Layout, Byazhin Road"
City Transit Inn,"₦6,313","Utako, Abuja","Plot 7, A.E Ekukinam Street, ABC Transport Building"
St Mattias Hotel,"₦6,500","Utako, Abuja",5 Olu Akinfosile Close Off T.O.S Benson Crescent
New City Hotel,"₦6,000","Wuye, Abuja",Plot 576 Gidado Idris Street Wuye
Summit Villa Hotel (Formerly Amenco Hotel),"₦6,000","Life Camp, Abuja",On The Road To Efab Estate Behind Sky Bank At Life Camp Junction
Langfield Royalty Motel,"₦7,000","Garki, Abuja",24 Dunukofia Street Area 11 Opposite Fcda
Power Mike Hotels ,"₦5,000","Garki, Abuja","9 Argungu Close , Off Benue Cresent, Area 1, Garki"
Daniel Suites,"₦5,250","Kubwa, Abuja","Kilometers 82 Sultan Dasuki Way, PW"
Capitol Suites,"₦5,500","Gwagwalada, Abuja",Behind Madonna N/P School Phase III
Akalaka Guest House,"₦6,000","Wuse Zone 6, Abuja",13 Younde Street
Salaam Hospitality,"₦6,000","Gwarinpa, Abuja","No 26 Femi Adetola Street, Off 7th Avenue, Gwarinpa"
Princely Inn And Suites,"₦5,000","Abuja, Abuja","Ado, New Karu"
SeaDry Suites,"₦5,000","Kubwa, Abuja",FCDA Extension III
Z'bass Lounge And Bar,"₦6,000","Gwagwalada, Abuja","Z'bass Lounge And Bar Before Gwagwalada Area Council, Gwagwalada"
Aubit Hotel Limited,"₦5,500","Nyanya, Abuja","Area A, Cadstral Zone"
Roop Hotels Limited,"₦5,000","Kubwa, Abuja","Off PHCN Road, Phase IV, Kubwa, Abuja, FCT"
"Dera International Hotel, Kuje","₦5,000","Kuje, Abuja","Along Medium Security Prison Road, Kuje"
